state,full_name,party,immigration_grade_numbersusa,immigration_score_numbersusa,aclu_score,club_for_growth_score
Alabama,Richard Shelby,Republican,F- ,0.00,0.00,0.73
Alabama,Doug Jones,Democratic,F- ,0.00,0.56,0.11
Alaska,Lisa Murkowski,Republican,F- ,0.00,0.50,0.51
Alaska,Dan Sullivan,Republican,D,0.27,0.00,0.66
Arizona,Kyrsten Sinema,Democratic,F- ,0.00,0.67,0.13
Arizona,Martha McSally,Republican,F-,0.01,0.00,0.57
Arkansas,John Boozman,Republican,D,0.23,0.00,0.69
Arkansas,Tom Cotton,Republican,A,0.92,0.11,0.82
California,Dianne Feinstein,Democratic,F- ,0.00,1.00,0.06
California,Kamala Harris,Democratic,F-,0.03,1.00,0.13
Colorado,Michael Bennet,Democratic,F- ,0.00,0.78,0.10
Colorado,Cory Gardner,Republican,F- ,0.00,0.00,0.66
Connecticut,Richard Blumenthal,Democratic,F-,0.01,0.78,0.05
Connecticut,Chris Murphy,Democratic,F- ,0.00,1.00,0.05
Delaware,Tom Carper,Democratic,F,0.14,1.00,0.12
Delaware,Chris Coons,Democratic,F- ,0.00,0.78,0.06
Florida,Marco Rubio,Republican,F- ,0.00,0.14,0.86
Florida,Rick Scott,Republican,D+,0.31,0.00,0.66
Georgia,David Perdue,Republican,C+,0.60,0.00,0.75
Georgia,Kelly Loeffler,Republican,F- ,0.00,0.14,0.70
Hawaii,Brian Schatz,Democratic,F- ,0.00,1.00,0.01
Hawaii,Mazie Hirono,Democratic,F- ,0.00,1.00,0.04
Idaho,Mike Crapo,Republican,F- ,0.00,0.00,0.80
Idaho,Jim Risch,Republican,D+,0.31,0.00,0.86
Illinois,Dick Durbin,Democratic,F- ,0.00,1.00,0.03
Illinois,Tammy Duckworth,Democratic,F- ,0.00,0.78,0.03
Indiana,Todd Young,Republican,F- ,0.00,0.00,0.68
Indiana,Mike Braun,Republican,B+,0.82,0.00,1.00
Iowa,Chuck Grassley,Republican,D,0.28,0.00,0.77
Iowa,Joni Ernst,Republican,D+,0.31,0.00,0.68
Kansas,Pat Roberts,Republican,F,0.10,0.00,0.70
Kansas,Jerry Moran,Republican,F-,0.01,0.22,0.71
Kentucky,Mitch McConnell,Republican,F- ,0.00,0.11,0.74
Kentucky,Rand Paul,Republican,C-,0.37,0.50,0.95
Louisiana,Bill Cassidy,Republican,C+,0.64,0.00,0.71
Louisiana,John Kennedy,Republican,B,0.77,0.00,0.84
Maine,Susan Collins,Republican,F- ,0.00,0.44,0.33
Maine,Angus King,Independent,F- ,0.00,0.78,0.04
Maryland,Ben Cardin,Democratic,F- ,0.00,0.78,0.03
Maryland,Chris Van Hollen,Democratic,F- ,0.00,1.00,0.08
Massachusetts,Elizabeth Warren,Democratic,D-,0.18,1.00,0.12
Massachusetts,Ed Markey,Democratic,F,0.09,0.89,0.10
Michigan,Debbie Stabenow,Democratic,F- ,0.00,0.78,0.11
Michigan,Gary Peters,Democratic,F- ,0.00,0.89,0.07
Minnesota,Amy Klobuchar,Democratic,F- ,0.00,0.78,0.06
Minnesota,Tina Smith,Democratic,F- ,0.00,0.78,0.03
Mississippi,Roger Wicker,Republican,D-,0.20,0.22,0.66
Mississippi,Cindy Hyde-Smith,Republican,F,0.10,0.00,0.46
Missouri,Roy Blunt,Republican,F,0.08,0.22,0.66
Missouri,Josh Hawley,Republican,A-,0.88,0.00,0.87
Montana,Jon Tester,Democratic,F- ,0.00,0.78,0.12
Montana,Steve Daines,Republican,C-,0.39,0.00,0.81
Nebraska,Deb Fischer,Republican,D+,0.35,0.00,0.72
Nebraska,Ben Sasse,Republican,B,0.75,0.00,0.95
Nevada,Catherine Cortez Masto,Democratic,F- ,0.00,0.78,0.03
Nevada,Jacky Rosen,Democratic,F- ,0.00,0.75,0.08
New Hampshire,Jeanne Shaheen,Democratic,F- ,0.00,1.00,0.05
New Hampshire,Maggie Hassan,Democratic,F- ,0.00,0.78,0.03
New Jersey,Bob Menendez,Democratic,F- ,0.00,0.67,0.12
New Jersey,Cory Booker,Democratic,D-,0.17,1.00,0.13
New Mexico,Tom Udall,Democratic,F- ,0.00,1.00,0.11
New Mexico,Martin Heinrich,Democratic,F- ,0.00,1.00,0.03
New York,Chuck Schumer,Democratic,F- ,0.00,0.78,0.04
New York,Kirsten Gillibrand,Democratic,D-,0.17,1.00,0.09
North Carolina,Richard Burr,Republican,D,0.23,0.00,0.74
North Carolina,Thom Tillis,Republican,D,0.21,0.00,0.65
North Dakota,John Hoeven,Republican,F,0.10,0.00,0.55
North Dakota,Kevin Cramer,Republican,F,0.14,0.00,0.49
Ohio,Sherrod Brown,Democratic,F- ,0.00,1.00,0.04
Ohio,Rob Portman,Republican,F,0.09,0.33,0.63
Oklahoma,Jim Inhofe,Republican,A-,0.89,0.00,0.87
Oklahoma,James Lankford,Republican,C-,0.43,0.00,0.86
Oregon,Ron Wyden,Democratic,F- ,0.00,0.78,0.09
Oregon,Jeff Merkley,Democratic,F- ,0.00,1.00,0.07
Pennsylvania,Bob Casey Jr.,Democratic,F- ,0.00,0.56,0.05
Pennsylvania,Pat Toomey,Republican,B,0.74,0.22,0.93
Rhode Island,Jack Reed,Democratic,F- ,0.00,1.00,0.05
Rhode Island,Sheldon Whitehouse,Democratic,F- ,0.00,0.78,0.06
South Carolina,Lindsey Graham,Republican,F,0.06,0.00,0.67
South Carolina,Tim Scott,Republican,C+,0.57,0.00,0.86
South Dakota,John Thune,Republican,D-,0.17,0.00,0.72
South Dakota,Mike Rounds,Republican,C+,0.56,0.00,0.58
Tennessee,Lamar Alexander,Republican,F- ,0.00,0.25,0.63
Tennessee,Marsha Blackburn,Republican,B,0.79,0.00,0.88
Texas,John Cornyn,Republican,B-,0.69,0.00,0.79
Texas,Ted Cruz,Republican,A,0.90,0.00,0.90
Utah,Mike Lee,Republican,B,0.75,0.33,0.99
Utah,Mitt Romney,Republican,F-,0.02,0.22,0.55
Vermont,Patrick Leahy,Democratic,F- ,0.00,1.00,0.03
Vermont,Bernie Sanders,Independent,F- ,0.00,1.00,0.09
Virginia,Mark Warner,Democratic,F- ,0.00,0.78,0.09
Virginia,Tim Kaine,Democratic,F- ,0.00,1.00,0.04
Washington,Patty Murray,Democratic,F- ,0.00,0.78,0.05
Washington,Maria Cantwell,Democratic,F- ,0.00,0.78,0.10
West Virginia,Joe Manchin,Democratic,F- ,0.00,0.33,0.22
West Virginia,Shelley Moore Capito,Republican,D,0.22,0.11,0.50
Wisconsin,Ron Johnson,Republican,C-,0.40,0.00,0.86
Wisconsin,Tammy Baldwin,Democratic,F- ,0.00,1.00,0.04
Wyoming,Mike Enzi,Republican,C-,0.40,0.00,0.83
Wyoming,John Barrasso,Republican,D,0.24,0.00,0.81
